ux time,human time,message
1676993768252552100,15:36:08,APP START
1676993773264141900,15:36:13,H
1676993778378023400,15:36:18,H
1676993781246982300,15:36:21,BEEP
1676993782407227900,15:36:22,BEEP
1676993782855289200,15:36:22,BEEP
1676993783103791000,15:36:23,BEEP
1676993783391109000,15:36:23,BEEP
1676993783394105500,15:36:23,H
1676993788409409400,15:36:28,H
1676993793430577200,15:36:33,H
1676993795935573300,15:36:35,AUTO BEEP START
1676993798946056800,15:36:38,H
1676993801936188200,15:36:41,AUTO_BEEP
1676993803971302200,15:36:43,H
1676993807944022500,15:36:47,AUTO_BEEP
1676993808995156700,15:36:48,H
1676993811839289300,15:36:51,AUTO BEEP ENDS
1676993814849863800,15:36:54,H
1676993814950926300,15:36:54,AUTO_BEEP
1676993819874641300,15:36:59,H
1676993824895184100,15:37:04,H
1676993829913112100,15:37:09,H
1676993834940414900,15:37:14,H
1676993839958157800,15:37:19,H
1676993844969781900,15:37:24,H
1676993849997591900,15:37:29,H
1676993855024582300,15:37:35,H
1676993860034237800,15:37:40,H
1676993865046984600,15:37:45,H
1676993870058651100,15:37:50,H
1676993875079230100,15:37:55,H
1676993880102554700,15:38:00,H
1676993885118957600,15:38:05,H
1676993885326697600,15:38:05,AUTO BEEP START
1676993890328030900,15:38:10,AUTO_BEEP
1676993890345039700,15:38:10,H
1676993895369947900,15:38:15,H
1676993897335979100,15:38:17,AUTO_BEEP
1676993900386641800,15:38:20,H
1676993902343657900,15:38:22,AUTO_BEEP
1676993903037404100,15:38:23,il a rater
1676993906049297900,15:38:26,H
1676993906354183000,15:38:26,AUTO_BEEP
1676993911064479100,15:38:31,H
1676993913357229700,15:38:33,AUTO_BEEP
1676993916082672900,15:38:36,H
1676993919359893500,15:38:39,AUTO_BEEP
1676993921098234000,15:38:41,H
1676993926117879600,15:38:46,H
1676993927363252800,15:38:47,AUTO_BEEP
1676993929191132400,15:38:49,AUTO BEEP ENDS
1676993931196942000,15:38:51,H
1676993931365973600,15:38:51,AUTO_BEEP
1676993936209595100,15:38:56,H
1676993941224785000,15:39:01,H
1676994077048744400,15:41:17,APP START
1676994175841845500,15:42:55,APP START
1676994181224606300,15:43:01,H
1676994182317424000,15:43:02,MAKE
1676994183445252800,15:43:03,MISS
1676994184037369400,15:43:04,RELEASE
1676994185092401600,15:43:05,RELEASE
1676994185460604800,15:43:05,MISS
1676994185861445600,15:43:05,MAKE
1676994186740909900,15:43:06,RELEASE
1676994186743911000,15:43:06,H
1676994187069197300,15:43:07,MISS
1676994187301372400,15:43:07,MAKE
1676994192317000500,15:43:12,H
1676994197343349100,15:43:17,H
1676994202357624000,15:43:22,H
1676994207383320800,15:43:27,H
1676994212410272000,15:43:32,H
1676994217421936300,15:43:37,H
1676994222435075200,15:43:42,H
1676994227460384900,15:43:47,H
1676994232486887100,15:43:52,H
1676994237496273100,15:43:57,H
1676994242507314000,15:44:02,H
1676994247519485000,15:44:07,H
1676994252532131400,15:44:12,H
1676994257544029400,15:44:17,H
1676994262558225600,15:44:22,H
1676994267582155100,15:44:27,H
1676994272600334700,15:44:32,H
1676994277626890700,15:44:37,H
1676994282639257800,15:44:42,H
1676994287664055300,15:44:47,H
1676994292690276700,15:44:52,H
1676994297704149500,15:44:57,H
1676994302729459200,15:45:02,H
1676994307753816700,15:45:07,H
1676994312765603700,15:45:12,H
1676994317779044100,15:45:17,H
1676994322800511400,15:45:22,H
1676994327809514600,15:45:27,H
1676994332821513900,15:45:32,H
1676994338264513100,15:45:38,H
1676994343275515200,15:45:43,H
1676994348285548200,15:45:48,H
1676994353295647300,15:45:53,H
1676994358308646100,15:45:58,H
1676994363319644400,15:46:03,H
1676994368329665500,15:46:08,H
1676994373340646100,15:46:13,H
1676994378352647700,15:46:18,H
1676994383365646300,15:46:23,H
1676994388376643200,15:46:28,H
1676994393387647300,15:46:33,H
1676994397779606200,15:46:37,MAKE
1676994398785645800,15:46:38,H
1676994403801317500,15:46:43,H
1676994408825536100,15:46:48,H
1676994413851310900,15:46:53,H
1676994414100510800,15:46:54,MISS
1676994414820288400,15:46:54,RELEASE
1676994415988289000,15:46:55,MAKE
1676994416292355700,15:46:56,MISS
1676994416572293100,15:46:56,RELEASE
1676994417323645400,15:46:57,MAKE
1676994417748581500,15:46:57,MISS
1676994418067938700,15:46:58,RELEASE
1676994418555885300,15:46:58,MAKE
1676994418868271100,15:46:58,MISS
1676994418871272200,15:46:58,H
1676994419139655700,15:46:59,RELEASE
1676994419659799400,15:46:59,MAKE
1676994420156052900,15:47:00,MISS
1676994420436117600,15:47:00,RELEASE
1676994420963641700,15:47:00,MAKE
1676994421300265000,15:47:01,MISS
1676994421659571300,15:47:01,RELEASE
1676994422171892100,15:47:02,MAKE
1676994422468654900,15:47:02,MISS
1676994422780197700,15:47:02,RELEASE
1676994424788096000,15:47:04,H
1676994429813322900,15:47:09,H
1676994434831846300,15:47:14,H
1676994439849820900,15:47:19,H
1676994444862822000,15:47:24,H
1676994449872822300,15:47:29,H
1676994454883824800,15:47:34,H
1676994459894820600,15:47:39,H
1676994464906822600,15:47:44,H
1676994469917823000,15:47:49,H
